word,reference_url,text,is_metaphor
hit,http://archive.org/details/MSNBCW_20121116_070000_Hardball_With_Chris_Matthews,welcome back to hardball john mccain and his allies have been trying to turn the benghazi attacks into a political scandal for the president since september well yesterday his criticism of susan rice the ambassador to the u n went too far for the president he hit back during his press conference let s listen,1
hit,http://archive.org/details/MSNBCW_20121116_070000_Hardball_With_Chris_Matthews,im serious im thinking of all the political impacts sari let s get back to this story as you re looking at it i always figure a first class reporter like you or a top drawer reporter you re looking at this story as to where it's heading where is this going to be a week from now petraeus is going to testify certainly about benghazi i which i think is going to be a bigger story as it develops if there is a story with im not sure there is obviously they're going to hit that guy harder tomorrow this question of whether this hanky panky is going to lead anywhere if you will,1
hit,http://archive.org/details/MSNBCW_20121116_070000_Hardball_With_Chris_Matthews,it's everywhere it's so widespread because we're such a large area and it hit over such a large area and im just seeing in new york new jersey has similar type damage how are we going to do it it's going to be harder because obviously there s a republican house that has not been as friendly to disaster relief the disaster money for irene was actually held up because these folks said for every dollar you spend on disaster you ve got to find a place to cut that s the way to make sure we don t help in disaster,1
hit,http://archive.org/details/MSNBCW_20121101_010000_The_Rachel_Maddow_Show,good evening ed thanks for stay with us for the next hour happy halloween as you can tell my halloween costume this year is once again middle aged lesbian pundit in cheap jacket boo because it is october 31st in much of the country kids are dressing up in costume and they're trick or treating tonight for our producer it means indulging the frog prince who lives in his house who used to be his son alias it is halloween whatever it can be halloween but this year it is not halloween because it cannot be halloween ever today governor chris christie postponed halloween today by executive order for the whole state of new jersey the state hardest hit by hurricane sandy they will be moving halloween to monday monday november 5th in order to protect new jersey s young trick or treaters from floodwaters and live wires and downed trees these crews were fixing fallen power lines in toms river new jersey today nearly 2 million households in new jersey are still without electricity today day three for reference in terms of how much of the country that means even if there were only one person in each of the new jersey households without power which is t isn t true even if it was just one the number of households without power in new jersey means there are more people in day three than the population of each of these states that is marked on the map this is a huge number of americans we are talking about here and this is not over this is not something that is done it is not past tense widespread flooding is still present and the national guard today bringing food and supplies to hoboken new jersey he talked about hoboken on last night s show the dire situation there hoboken is a little town directly across the hudson river from manhattan it is small but it's got 50 000 people in it you can see hoboken clearly from the west side of new york city and as of last night the mayor told us there were as many as 20 000 people of the population 50 000 people in the city there were as many as 20 000 people still stranded in deep impassable and increasingly polluted floodwaters the national guard did get to some of those people starting late last night and into today we ll have more about that very dramatic situation in just a moment the national guard also arrived this morning in moonachie new jersey where the storm surge swamped the town very very quickly people in all sorts of housing in moonachie were caught unaware and trapped but particularly folks in mobile homes had a very difficult time there members of the national guard also rushed to the assistance today of new york city bellevue hospital which has been running on generators ever since the lower half of manhattan lost power monday night when sandy came ashore 17 million gallons of water flooded bellevue hospital s basement after that shot we showed you last night of hospital employees making a human chain up the stairwell a human chain to cover fuel to the backup generator up on the roof 13 floors up well today the national guard used helicopters to fly fuel to the roof of the building they also had individual soldiers today lugging fuel one canister at a time up those 13 flights of stairs it turned out even with those heroic and exhausting efforts the damage was much worse than expected at bellevue and by lunchtime today critical care patients including kids were being evacuated one by one to other hospitals that effort that evacuation at this hour is still ongoing today also afforded a clear and harrowing look at the aftermath of monday night s inferno in the new york city community of breezy point queens that fire burned down 111 homes 111 houses as floodwaters kept firefighters out a lot of firefighters live in breezy point it is a community that lost a lot of first responders on 9 11 and now this a series of natural gas fires also broke out early this morning in the new jersey shore town of mantoloking this is what it looked like today across new jersey and in a lot of towns that in some cases even did have electricity long lines and gridlock extending from any gas stations that had both power and gas today the U.S. navy ordered three helicopter carrier ships to the new jersey and new york coast the uss wasp the uss carter hall and the uss mesa verde will provide relief efforts the need be the new york police department today released this rather amazing video of helicopter search and rescue teams airlifting people to safety off of rooftops in the new york city borough of staten island staten island s death toll stands at 12 out of a growing national death toll of 64 americans new jersey governor chris christie today was with president obama at the site of today s landfall in atlantic city they were on marine one together the president s helicopter touring some of the cities in ruin along the new jersey shorelines both politicians both leaders today going out of their way to emphasize that day three of this massive multi state ongoing natural disaster is still no time for partisan politics,0
hit,http://archive.org/details/MSNBCW_20121101_010000_The_Rachel_Maddow_Show,we are here for you and we will not forget we will follow up to make sure that you get all the help that you need until you ve rebuilt at this point our main focus is on the states of new jersey which got hit harder than anybody the state of new york particularly lower manhattan and long island we are very concerned about some situations in connecticut as well and we're still monitoring west virginia where there are heavy snows in some inaccessible areas but for the most part those four states are really bearing the brunt of this incredible storm what we ve been able to do is to preposition and stage commodities water power generators ambulances in some cases food medical supplies emergency supplies and we have over 2 000 fema personnel that are on the ground right now their job now that we're moving out of the search and rescue phase is to make sure that they are going out and talking to individual communities so that people know exactly how they can get the help that they need,0
hit,http://archive.org/details/CNNW_20121116_030000_Anderson_Cooper_360,absolutely right anderson there are jets from the israeli military just passing overhead literally a couple minutes ago it looks as though gaza might be in for a few more air strikes what s happened here on the ground in ashkelon we are only about eight miles away from the border with gaza they ve had at least 20 rockets come over from gaza here in ashkelon what they have in place here is a missile defense system called the iron dome and across southern israel the israeli defense forces say that missile defense system has intercepted as many as 130 rockets coming out of gaza but of course it can't intercept all of them that s the reason the israelis say why they keep sending war planes over there to try and suppress especially the medium and long range rockets coming out of gaza because one of the things that also happened today is that the outskirts of tel aviv were actually hit by a rocket as well no one was injured in that however it is very very concerning to the israelis if their main city if the biggest city here in this country can in fact be targeted and the message we're getting from the israeli defense forces and government is that they're both capable and very much willing to keep on widening that operation in the short term that will probably mean more air strikes a lot more air strikes and in the longer term or medium term it could in fact mean a ground offensive we're also seeing a lot of movement on the ground here tanks and other vehicles being brought into place,0
hit,http://archive.org/details/CNNW_20121116_030000_Anderson_Cooper_360,that s a very good question it's certainly something the israelis are leaving on the table at this point there s a lot of speculation one of the things the israelis are not able to say is what would actually trigger a ground offensive there are some who are saying for instance if tel aviv took a direct hit from a larger rocket that could trigger a ground offensive we asked spokespeople for the israeli defense forces and they're just not willing to commit and say this would be where the red line would be crossed however they are continuously saying that yes they are perfectly capable and willing to start a ground offense if they feel they are not achieving their objectives with the aerial bombardment or if they feel they need to do more than they are doing right now they say what they are doing right now is called surgical air strikes where they say they are predominantly taking out these rocket positions in gaza they say if they feel they are not achieving that objective then a ground offensive would still very much be in the cards the other thing they're doing is they are also mobilizing the reserves which is another indication that they are very very seriously serious about possibly going into gaza with ground troops,0
hit,http://archive.org/details/CNNW_20121116_030000_Anderson_Cooper_360,reporter yeah sorry we just had another jet come over there were three casualties today on the israeli side it's actually just a couple of miles away from where im standing right here these were people who were in their apartment building that apartment building was then hit by a rocket and these people were dead immediately other than that there haven t been any casualties on the israeli side simply because in places like ashkelon as you know the people take this very seriously if there is a siren that goes off in ashkelon people do take shelter they hit the deck they go to the ground they deal with this kind of stuff every day i talked to the mayor,1
hit,http://archive.org/details/CNNW_20121116_030000_Anderson_Cooper_360,it's been 17 days since superstorm sandy hit and more than 1 700 households still without power what can be done to prevent this from happening again tom foreman reports in building up america,0
hit,http://archive.org/details/MSNBCW_20121006_020000_Hardball_With_Chris_Matthews,we have hit the point in the election where people begin to lose their minds the jobless rate fell below 8 in september which is good news for president obama and a new conspiracy theory for some republicans,1
